status,error,config_id,embedding_model,planning_chunking_mode,top_k,CR_mean,CR_pass_rate,Faithfulness_mean,Faithfulness_pass_rate,AR_mean,AR_pass_rate,retrieval_seconds_avg,answer_seconds_avg,runtime_seconds_avg,eval_context_docs_avg,eval_context_chars_avg,context_chars_avg,planning_chunk_count,post_chunk_count,runtime_cost_proxy,report_path
ok,,multilingual_e5_base_ghr1__planning_baseline_fixed__k16,intfloat/multilingual-e5-base,planning_baseline_fixed,16,0.692333,0.61,0.970528,0.98,0.803291,0.8,3.71519,2.71183,6.42702,5.18,4420.32,4477.75,14032,161,7.846777,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_e5base_b16_evalonly_20260426\runs\multilingual_e5_base_ghr1__planning_baseline_fixed__k16.json
ok,,multilingual_e5_base_ghr1__planning_baseline_fixed__k24,intfloat/multilingual-e5-base,planning_baseline_fixed,24,0.697333,0.62,0.964631,0.96,0.785585,0.79,3.67931,2.79334,6.47265,5.18,4421.34,4478.77,14032,161,7.972663,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_e5base_b24_evalonly_20260426\runs\multilingual_e5_base_ghr1__planning_baseline_fixed__k24.json
ok,,multilingual_e5_base_ghr1__planning_baseline_fixed__k8,intfloat/multilingual-e5-base,planning_baseline_fixed,8,0.715667,0.64,0.954024,0.95,0.799852,0.81,3.13405,2.5918,5.72585,4.02,3404.45,3404.45,14032,161,6.797283,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_e5base_b8_evalonly_20260426\runs\multilingual_e5_base_ghr1__planning_baseline_fixed__k8.json
ok,,multilingual_e5_base_ghr1__planning_hierarchical_parent_context__k16,intfloat/multilingual-e5-base,planning_hierarchical_parent_context,16,0.784,0.7,0.952397,0.96,0.890056,0.9,2.36967,3.58798,5.95765,6.24,6438.67,6576.86,8502,161,7.846885,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\genuinely_hard_rebalanced_v1_full_matrix_20260425_utf8_clean\runs\multilingual_e5_base_ghr1__planning_hierarchical_parent_context__k16.json
ok,,multilingual_e5_base_ghr1__planning_hierarchical_parent_context__k24,intfloat/multilingual-e5-base,planning_hierarchical_parent_context,24,0.782333,0.71,0.941108,0.93,0.87794,0.88,2.34361,4.29459,6.6382,6.24,6439.69,6577.88,8502,161,8.60769,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\genuinely_hard_rebalanced_v1_full_matrix_20260425_utf8_clean\runs\multilingual_e5_base_ghr1__planning_hierarchical_parent_context__k24.json
ok,,multilingual_e5_base_ghr1__planning_hierarchical_parent_context__k8,intfloat/multilingual-e5-base,planning_hierarchical_parent_context,8,0.782333,0.7,0.967321,0.94,0.87031,0.84,2.18923,3.29608,5.48531,4.77,4787.82,4787.82,8502,161,6.847285,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\genuinely_hard_rebalanced_v1_full_matrix_20260425_utf8_clean\runs\multilingual_e5_base_ghr1__planning_hierarchical_parent_context__k8.json
ok,,multilingual_e5_small_ghr1__planning_baseline_fixed__k16,intfloat/multilingual-e5-small,planning_baseline_fixed,16,0.705667,0.63,0.97892,1.0,0.803262,0.81,2.72509,3.07936,5.80445,5.18,4413.16,4470.59,13304,161,7.215138,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\genuinely_hard_rebalanced_v1_full_matrix_20260425_utf8\runs\multilingual_e5_small_ghr1__planning_baseline_fixed__k16.json
ok,,multilingual_e5_small_ghr1__planning_baseline_fixed__k24,intfloat/multilingual-e5-small,planning_baseline_fixed,24,0.697333,0.62,0.964782,0.98,0.799228,0.8,2.81816,2.78632,5.60448,5.18,4415.29,4472.72,13304,161,7.0957,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\genuinely_hard_rebalanced_v1_full_matrix_20260425_utf8_clean\runs\multilingual_e5_small_ghr1__planning_baseline_fixed__k24.json
ok,,multilingual_e5_small_ghr1__planning_baseline_fixed__k8,intfloat/multilingual-e5-small,planning_baseline_fixed,8,0.712,0.63,0.954671,0.96,0.799071,0.81,2.72205,3.33829,6.06034,4.05,3424.9,3424.9,13304,161,7.129605,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\genuinely_hard_rebalanced_v1_full_matrix_20260425_utf8\runs\multilingual_e5_small_ghr1__planning_baseline_fixed__k8.json
ok,,multilingual_e5_small_ghr1__planning_hierarchical_parent_child__k16,intfloat/multilingual-e5-small,planning_hierarchical_parent_child,16,0.646667,0.57,0.961992,0.97,0.741316,0.73,3.29763,3.56414,6.86177,4.58,4701.16,4779.3,10501,161,8.321605,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_pch16_20260426\runs\multilingual_e5_small_ghr1__planning_hierarchical_parent_child__k16.json
ok,,multilingual_e5_small_ghr1__planning_hierarchical_parent_child__k24,intfloat/multilingual-e5-small,planning_hierarchical_parent_child,24,0.650667,0.58,0.971603,0.98,0.736363,0.72,3.29536,2.96032,6.25568,4.58,4700.94,4779.08,10501,161,7.79546,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_pch24_20260426\runs\multilingual_e5_small_ghr1__planning_hierarchical_parent_child__k24.json
ok,,multilingual_e5_small_ghr1__planning_hierarchical_parent_child__k8,intfloat/multilingual-e5-small,planning_hierarchical_parent_child,8,0.645333,0.56,0.969702,0.95,0.738583,0.72,3.31433,2.8806,6.19493,3.63,3517.72,3517.72,10501,161,7.25937,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_pch8_20260426\runs\multilingual_e5_small_ghr1__planning_hierarchical_parent_child__k8.json
ok,,multilingual_e5_small_ghr1__planning_hierarchical_parent_context__k16,intfloat/multilingual-e5-small,planning_hierarchical_parent_context,16,0.611667,0.54,0.965734,0.97,0.702063,0.7,2.32803,3.18251,5.51054,4.1,4321.06,4375.59,3756,161,6.801997,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_pc16_20260426\runs\multilingual_e5_small_ghr1__planning_hierarchical_parent_context__k16.json
ok,,multilingual_e5_small_ghr1__planning_hierarchical_parent_context__k24,intfloat/multilingual-e5-small,planning_hierarchical_parent_context,24,0.610667,0.54,0.971754,0.97,0.695052,0.69,2.33918,2.62189,4.96107,4.1,4320.84,4375.37,3756,161,6.332473,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_pc24_20260426\runs\multilingual_e5_small_ghr1__planning_hierarchical_parent_context__k24.json
ok,,multilingual_e5_small_ghr1__planning_hierarchical_parent_context__k8,intfloat/multilingual-e5-small,planning_hierarchical_parent_context,8,0.605333,0.53,0.973256,0.979798,0.695118,0.68,2.29014,2.50145,4.79159,3.28,3244.27,3244.27,3756,161,5.720218,D:\Real-estate\real-estate-AI\ai-service\evaluation\reports\experiments\tmp_full_pc8_20260426\runs\multilingual_e5_small_ghr1__planning_hierarchical_parent_context__k8.json
